time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/05:36:16.735000,-0.15,0.0,0.0,0.0,0.0,0.0032
1970/01/01/05:36:16.835000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:16.836000,-0.15,0.0,0.0,0.0,0.0,-0.0096
1970/01/01/05:36:16.934000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:16.935000,-0.15,0.0,0.0,0.0,0.0,-0.0228
1970/01/01/05:36:17.033000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.034000,-0.15,0.0,0.0,0.0,0.0,-0.0364
1970/01/01/05:36:17.134000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.135000,-0.15,0.0,0.0,0.0,0.0,-0.052
1970/01/01/05:36:17.235000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.237000,-0.15,0.0,0.0,0.0,0.0,-0.07
1970/01/01/05:36:17.335000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.336000,-0.15,0.0,0.0,0.0,0.0,-0.084
1970/01/01/05:36:17.435000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.436000,-0.15,0.0,0.0,0.0,0.0,-0.1008
1970/01/01/05:36:17.535000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.536000,-0.15,0.0,0.0,0.0,0.0,-0.1176
1970/01/01/05:36:17.634000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.635000,-0.15,0.0,0.0,0.0,0.0,-0.1322
1970/01/01/05:36:17.734000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.735000,-0.15,0.0,0.0,0.0,0.0,-0.1494
1970/01/01/05:36:17.835000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.837000,-0.15,0.0,0.0,0.0,0.0,-0.1668
1970/01/01/05:36:17.934000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:17.935000,-0.15,0.0,0.0,0.0,0.0,-0.184
1970/01/01/05:36:18.035000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.036000,-0.15,0.0,0.0,0.0,0.0,-0.202
1970/01/01/05:36:18.135000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.136000,-0.15,0.0,0.0,0.0,0.0,-0.2196
1970/01/01/05:36:18.235000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.236000,-0.15,0.0,0.0,0.0,0.0,-0.2374
1970/01/01/05:36:18.335000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.337000,-0.15,0.0,0.0,0.0,0.0,-0.2554
1970/01/01/05:36:18.435000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.437000,-0.15,0.0,0.0,0.0,0.0,-0.2738
1970/01/01/05:36:18.534000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.535000,-0.15,0.0,0.0,0.0,0.0,-0.2922
1970/01/01/05:36:18.635000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.636000,-0.15,0.0,0.0,0.0,0.0,-0.3078
1970/01/01/05:36:18.735000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.736000,-0.15,0.0,0.0,0.0,0.0,-0.3264
1970/01/01/05:36:18.835000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.837000,-0.15,0.0,0.0,0.0,0.0,-0.3422
1970/01/01/05:36:18.935000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:18.936000,-0.15,0.0,0.0,0.0,0.0,-0.3582
1970/01/01/05:36:19.035000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.037000,-0.15,0.0,0.0,0.0,0.0,-0.3768
1970/01/01/05:36:19.135000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.137000,-0.15,0.0,0.0,0.0,0.0,-0.3928
1970/01/01/05:36:19.236000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.237000,-0.15,0.0,0.0,0.0,0.0,-0.4062
1970/01/01/05:36:19.335000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.335000,-0.15,0.0,0.0,0.0,0.0,-0.4238
1970/01/01/05:36:19.435000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.436000,-0.15,0.0,0.0,0.0,0.0,-0.4394
1970/01/01/05:36:19.536000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.537000,-0.15,0.0,0.0,0.0,0.0,-0.4522
1970/01/01/05:36:19.634000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.635000,-0.15,0.0,0.0,0.0,0.0,-0.4652
1970/01/01/05:36:19.734000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.735000,-0.15,0.0,0.0,0.0,0.0,-0.4782
1970/01/01/05:36:19.835000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.836000,-0.15,0.0,0.0,0.0,0.0,-0.4938
1970/01/01/05:36:19.936000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:19.937000,-0.15,0.0,0.0,0.0,0.0,-0.5068
1970/01/01/05:36:20.034000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.035000,-0.15,0.0,0.0,0.0,0.0,-0.5194
1970/01/01/05:36:20.134000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.135000,-0.15,0.0,0.0,0.0,0.0,-0.5324
1970/01/01/05:36:20.235000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.236000,-0.15,0.0,0.0,0.0,0.0,-0.5454
1970/01/01/05:36:20.335000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.336000,-0.15,0.0,0.0,0.0,0.0,-0.561
1970/01/01/05:36:20.435000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.435000,-0.15,0.0,0.0,0.0,0.0,-0.574
1970/01/01/05:36:20.535000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.536000,-0.15,0.0,0.0,0.0,0.0,-0.587
1970/01/01/05:36:20.635000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.635000,-0.15,0.0,0.0,0.0,0.0,-0.6
1970/01/01/05:36:20.735000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.736000,-0.15,0.0,0.0,0.0,0.0,-0.6158
1970/01/01/05:36:20.835000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.836000,-0.15,0.0,0.0,0.0,0.0,-0.6288
1970/01/01/05:36:20.935000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:20.936000,-0.15,0.0,0.0,0.0,0.0,-0.641
1970/01/01/05:36:21.035000,-0.15,0.0,0.0,0.0,0.0,0.0
