time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.angular_vel,.linear_vel,.kp_dist,.kd_dist,.kp_angle,.kd_angle,.y_offset,.fork_angle,.dist_2_pallet
1970/01/01/05:31:19.495000,404,0,0,,0.0193,0.088,0.09,0.1,0.113,0.02,0.113,0.058,0.987
1970/01/01/05:31:19.595000,405,0,0,,0.0191,0.087,0.09,0.1,0.113,0.02,0.113,0.056,0.979
1970/01/01/05:31:19.694000,406,0,0,,0.019,0.086,0.09,0.1,0.113,0.02,0.113,0.055,0.97
1970/01/01/05:31:19.795000,407,0,0,,0.0192,0.086,0.09,0.1,0.114,0.02,0.114,0.054,0.961
1970/01/01/05:31:19.894000,408,0,0,,0.0189,0.085,0.09,0.1,0.114,0.02,0.114,0.052,0.952
1970/01/01/05:31:19.994000,409,0,0,,0.0188,0.084,0.09,0.1,0.114,0.02,0.114,0.051,0.943
1970/01/01/05:31:20.096000,410,0,0,,0.019,0.083,0.09,0.1,0.115,0.02,0.115,0.05,0.934
1970/01/01/05:31:20.194000,411,0,0,,0.0188,0.082,0.09,0.1,0.115,0.02,0.115,0.049,0.925
1970/01/01/05:31:20.295000,412,0,0,,0.0187,0.082,0.09,0.1,0.115,0.02,0.115,0.048,0.917
1970/01/01/05:31:20.397000,413,0,0,,0.019,0.081,0.09,0.1,0.116,0.02,0.116,0.048,0.908
1970/01/01/05:31:20.494000,414,0,0,,0.019,0.08,0.09,0.1,0.116,0.02,0.116,0.048,0.897
1970/01/01/05:31:20.596000,415,0,0,,0.0189,0.079,0.09,0.1,0.116,0.02,0.116,0.047,0.889
1970/01/01/05:31:20.693000,416,0,0,,0.0189,0.078,0.09,0.1,0.116,0.02,0.116,0.047,0.88
1970/01/01/05:31:20.796000,417,0,0,,0.0188,0.077,0.09,0.1,0.116,0.02,0.116,0.046,0.871
1970/01/01/05:31:20.895000,418,0,0,,0.0191,0.077,0.09,0.1,0.117,0.02,0.117,0.046,0.862
1970/01/01/05:31:21.022000,419,0,0,,0.0189,0.076,0.09,0.1,0.117,0.02,0.117,0.045,0.854
1970/01/01/05:31:21.095000,420,0,0,,0.019,0.075,0.09,0.1,0.117,0.02,0.117,0.045,0.843
1970/01/01/05:31:21.195000,421,0,0,,0.019,0.074,0.09,0.1,0.117,0.02,0.117,0.045,0.834
1970/01/01/05:31:21.295000,422,0,0,,0.0188,0.074,0.09,0.1,0.117,0.02,0.117,0.044,0.826
1970/01/01/05:31:21.395000,423,0,0,,0.0191,0.073,0.09,0.1,0.118,0.02,0.118,0.044,0.818
1970/01/01/05:31:21.494000,424,0,0,,0.0191,0.072,0.09,0.1,0.118,0.02,0.118,0.044,0.808
1970/01/01/05:31:21.596000,425,0,0,,0.019,0.071,0.09,0.1,0.118,0.02,0.118,0.043,0.8
1970/01/01/05:31:21.695000,426,0,0,,0.0189,0.07,0.09,0.1,0.118,0.02,0.118,0.042,0.791
1970/01/01/05:31:21.795000,427,0,0,,0.0189,0.069,0.09,0.1,0.118,0.02,0.118,0.042,0.782
1970/01/01/05:31:21.895000,428,0,0,,0.0189,0.069,0.09,0.1,0.118,0.02,0.118,0.042,0.774
1970/01/01/05:31:21.994000,429,0,0,,0.0187,0.068,0.09,0.1,0.118,0.02,0.118,0.041,0.765
1970/01/01/05:31:22.094000,430,0,0,,0.0191,0.067,0.09,0.1,0.119,0.02,0.119,0.041,0.757
1970/01/01/05:31:22.195000,431,0,0,,0.019,0.066,0.09,0.1,0.119,0.02,0.119,0.041,0.748
1970/01/01/05:31:22.294000,432,0,0,,0.0189,0.066,0.09,0.1,0.119,0.02,0.119,0.04,0.74
1970/01/01/05:31:22.396000,433,0,0,,0.0189,0.065,0.09,0.1,0.119,0.02,0.119,0.04,0.73
1970/01/01/05:31:22.494000,434,0,0,,0.0188,0.064,0.09,0.1,0.119,0.02,0.119,0.039,0.722
1970/01/01/05:31:22.595000,435,0,0,,0.0188,0.063,0.09,0.1,0.119,0.02,0.119,0.039,0.713
1970/01/01/05:31:22.695000,436,0,0,,0.0191,0.062,0.09,0.1,0.12,0.02,0.12,0.039,0.704
1970/01/01/05:31:22.796000,437,0,0,,0.0189,0.062,0.09,0.1,0.12,0.02,0.12,0.038,0.695
1970/01/01/05:31:22.894000,438,0,0,,0.019,0.061,0.09,0.1,0.12,0.02,0.12,0.038,0.687
1970/01/01/05:31:22.992000,439,0,0,,0.019,0.06,0.09,0.1,0.12,0.02,0.12,0.038,0.678
1970/01/01/05:31:23.094000,440,0,0,,0.0188,0.059,0.09,0.1,0.12,0.02,0.12,0.037,0.669
1970/01/01/05:31:23.195000,441,0,0,,0.0188,0.059,0.09,0.1,0.12,0.02,0.12,0.037,0.661
1970/01/01/05:31:23.295000,442,0,0,,0.0188,0.058,0.09,0.1,0.12,0.02,0.12,0.037,0.652
1970/01/01/05:31:23.394000,443,0,0,,0.019,0.057,0.09,0.1,0.121,0.02,0.121,0.036,0.644
1970/01/01/05:31:23.496000,444,0,0,,0.019,0.056,0.09,0.1,0.121,0.02,0.121,0.036,0.635
1970/01/01/05:31:23.596000,445,0,0,,0.0189,0.055,0.09,0.1,0.121,0.02,0.121,0.035,0.626
1970/01/01/05:31:23.695000,446,0,0,,0.0189,0.055,0.09,0.1,0.121,0.02,0.121,0.035,0.618
1970/01/01/05:31:23.794000,447,0,0,,0.0189,0.054,0.09,0.1,0.121,0.02,0.121,0.035,0.609
1970/01/01/05:31:23.895000,448,0,0,,0.0187,0.053,0.09,0.1,0.121,0.02,0.121,0.034,0.601
1970/01/01/05:31:23.996000,449,0,0,,0.0188,0.052,0.09,0.1,0.121,0.02,0.121,0.034,0.591
1970/01/01/05:31:24.096000,450,0,0,,0.0191,0.052,0.09,0.1,0.122,0.02,0.122,0.034,0.583
1970/01/01/05:31:24.196000,451,0,0,,0.0189,0.051,0.09,0.1,0.122,0.02,0.122,0.033,0.574
1970/01/01/05:31:24.296000,452,0,0,,0.0189,0.05,0.09,0.1,0.122,0.02,0.122,0.033,0.564
1970/01/01/05:31:24.395000,453,0,0,,0.0189,0.049,0.09,0.1,0.122,0.02,0.122,0.033,0.555
1970/01/01/05:31:24.494000,454,0,0,,0.0188,0.048,0.09,0.1,0.122,0.02,0.122,0.032,0.546
1970/01/01/05:31:24.594000,455,0,0,,0.0188,0.048,0.09,0.1,0.122,0.02,0.122,0.032,0.538
1970/01/01/05:31:24.696000,456,0,0,,0.0188,0.047,0.09,0.1,0.122,0.02,0.122,0.032,0.529
1970/01/01/05:31:24.796000,457,0,0,,0.0186,0.046,0.09,0.1,0.122,0.02,0.122,0.031,0.52
1970/01/01/05:31:24.895000,458,0,0,,0.019,0.045,0.09,0.1,0.123,0.02,0.123,0.031,0.511
1970/01/01/05:31:24.996000,459,0,0,,0.0189,0.044,0.09,0.1,0.123,0.02,0.123,0.031,0.503
1970/01/01/05:31:25.095000,460,0,0,,0.0189,0.044,0.09,0.1,0.123,0.02,0.123,0.031,0.494
1970/01/01/05:31:25.194000,461,0,0,,0.0188,0.043,0.09,0.1,0.123,0.02,0.123,0.03,0.485
1970/01/01/05:31:25.295000,462,0,0,,0.0188,0.043,0.09,0.1,0.123,0.02,0.123,0.03,0.483
1970/01/01/05:31:25.396000,463,0,0,,0.0188,0.043,0.09,0.1,0.123,0.02,0.123,0.03,0.483
1970/01/01/05:31:25.495000,464,0,0,,0.0188,0.043,0.09,0.1,0.123,0.02,0.123,0.03,0.483
1970/01/01/05:31:25.595000,465,0,0,,0.0188,0.043,0.09,0.1,0.123,0.02,0.123,0.03,0.483
1970/01/01/05:31:25.695000,466,0,0,,0.0188,0.043,0.09,0.1,0.123,0.02,0.123,0.03,0.483
1970/01/01/05:31:25.795000,467,0,0,,0.0188,0.043,0.09,0.1,0.123,0.02,0.123,0.03,0.483
1970/01/01/05:31:25.894000,468,0,0,,0.0188,0.043,0.09,0.1,0.123,0.02,0.123,0.03,0.483
1970/01/01/05:31:26.017000,469,0,0,,0.019,0.043,0.09,0.1,0.123,0.02,0.123,0.031,0.483
1970/01/01/05:31:26.096000,470,0,0,,0.0189,0.043,0.09,0.1,0.123,0.02,0.123,0.031,0.483
1970/01/01/05:31:26.196000,471,0,0,,0.0189,0.044,0.09,0.1,0.123,0.02,0.123,0.031,0.484
1970/01/01/05:31:26.296000,472,0,0,,0.0189,0.044,0.09,0.1,0.123,0.02,0.123,0.031,0.484
1970/01/01/05:31:26.396000,473,0,0,,0.0189,0.044,0.09,0.1,0.123,0.02,0.123,0.031,0.484
1970/01/01/05:31:26.495000,474,0,0,,0.0189,0.044,0.09,0.1,0.123,0.02,0.123,0.031,0.484
1970/01/01/05:31:26.596000,475,0,0,,0.0194,0.044,0.09,0.1,0.124,0.02,0.124,0.032,0.484
1970/01/01/05:31:26.695000,476,0,0,,0.0193,0.044,0.09,0.1,0.124,0.02,0.124,0.032,0.484
1970/01/01/05:31:26.795000,477,0,0,,0.0193,0.044,0.09,0.1,0.124,0.02,0.124,0.032,0.485
1970/01/01/05:31:26.894000,478,0,0,,0.0193,0.044,0.09,0.1,0.124,0.02,0.124,0.032,0.485
1970/01/01/05:31:26.996000,479,0,0,,0.0193,0.044,0.09,0.1,0.124,0.02,0.124,0.032,0.485
1970/01/01/05:31:27.095000,480,0,0,,0.0193,0.044,0.09,0.1,0.124,0.02,0.124,0.032,0.485
1970/01/01/05:31:27.195000,481,0,0,,0.0195,0.044,0.09,0.1,0.124,0.02,0.124,0.033,0.485
